"Species";"Table";"Phylum";"Note"
"Hecatonema sp.";"Bottom Vegetation";;
"Hediste diversicolor";"Bottom Vegetation";;
"Henricia sanguinolenta";"Bottom Vegetation";;
"Herponema desmarestiae";"Bottom Vegetation";;
"Hesionidae";"Bottom Vegetation";;
"Heteranomia squamula";"Bottom Vegetation";;
"Heterosiphonia japonica";"Bottom Vegetation";;
"Heterosiphonia plumosa";"Bottom Vegetation";;
"Hiatella arctica";"Bottom Vegetation";;
"Hildenbrandia crouanii";"Bottom Vegetation";;
"Hildenbrandia prototypus";"Bottom Vegetation";;
"Hildenbrandia rubra";"Bottom Vegetation";;
"Hildenbrandia sp.";"Bottom Vegetation";;
"Himanthalia elongata";"Bottom Vegetation";;
"Hincksia granulosa";"Bottom Vegetation";;
"Hincksia ovata";"Bottom Vegetation";;
"Hincksia sandriana";"Bottom Vegetation";;
"Hincksia sp.";"Bottom Vegetation";;
"Hinia reticulata";"Bottom Vegetation";;
"Hinia sp.";"Bottom Vegetation";;
"Hippothoa hyalina";"Bottom Vegetation";;
"Hirudinea";"Bottom Vegetation";;
"Holothuroidea";"Bottom Vegetation";;
"Homarus gammarus";"Bottom Vegetation";;
"Hyas araneus";"Bottom Vegetation";;
"Hydractinia echinata";"Bottom Vegetation";;
"Hydractinia sp.";"Bottom Vegetation";;
"Hydrobia sp.";"Bottom Vegetation";;
"Hydrobiidae sp.";"Bottom Vegetation";;
"Hydroida indet.";"Bottom Vegetation";;
"Hydrozoa indet.";"Bottom Vegetation";;
"Hyella balani";"Bottom Vegetation";;
"Hyella caespitosa";"Bottom Vegetation";;
"Hyella sp.";"Bottom Vegetation";;
"Hymenoclonium serpens";"Bottom Vegetation";;
"Idotea baltica";"Bottom Vegetation";;
"Idotea granulosa";"Bottom Vegetation";;
"Idotea neglecta";"Bottom Vegetation";;
"Idotea pelagica";"Bottom Vegetation";;
"Idotea sp.";"Bottom Vegetation";;
"Idotea viridis";"Bottom Vegetation";;
"Inachus sp.";"Bottom Vegetation";;
"Ingen arter registreret";"Bottom Vegetation";;
"Irregularia";"Bottom Vegetation";;
"Ischnochiton albus";"Bottom Vegetation";;
"Ischyroceros anguipis";"Bottom Vegetation";;
"Isopoda";"Bottom Vegetation";;
"Isthmoplea sphaerophora";"Bottom Vegetation";;
"Jaera albifrons";"Bottom Vegetation";;
"Jaera ischiosetosa";"Bottom Vegetation";;
"Jaera praehirsuta";"Bottom Vegetation";;
"Jaera sp.";"Bottom Vegetation";;
"Janira maculosa";"Bottom Vegetation";;
"Jassa falcata";"Bottom Vegetation";;
"Jassa marmorata";"Bottom Vegetation";;
"Jassa pusilla";"Bottom Vegetation";;
"Kiselalger";"Bottom Vegetation";;
"Labridae sp.";"Bottom Vegetation";;
"Labrus bergylta";"Bottom Vegetation";;
"Lacuna divaricata";"Bottom Vegetation";;
"Lacuna pallidula";"Bottom Vegetation";;
"Lacuna puteolus";"Bottom Vegetation";;
"Laminaria digitata";"Bottom Vegetation";;
"Laminaria hyperborea";"Bottom Vegetation";;
"Laminaria saccharina";"Bottom Vegetation";;
"Laminaria sp.";"Bottom Vegetation";;
"Laminariocolax tomentosoides";"Bottom Vegetation";;
"Lamprothamnium papulosum";"Bottom Vegetation";;
"Lanice conchilega";"Bottom Vegetation";;
"Laomedea flexuosa";"Bottom Vegetation";;
"Laomedea geniculata";"Bottom Vegetation";;
"Laomedea hyalina";"Bottom Vegetation";;
"Laomedea longissima";"Bottom Vegetation";;
"Laomedea loveni";"Bottom Vegetation";;
"Laomedea sp.";"Bottom Vegetation";;
"Laonome kroeyeri";"Bottom Vegetation";;
"Laurencia pinnatifida";"Bottom Vegetation";;
"Leathesia difformis";"Bottom Vegetation";;
"Lepidochiton cinereus";"Bottom Vegetation";;
"Lepidochitona cinerea";"Bottom Vegetation";;
"Lepidonotus squamatus";"Bottom Vegetation";;
"Lepidopleurus asellus";"Bottom Vegetation";;
"Leptonematella fasciculata";"Bottom Vegetation";;
"Limanda limanda";"Bottom Vegetation";;
"Limnocythere inopinata";"Bottom Vegetation";;
"Liocarcinus depurator";"Bottom Vegetation";;
"Liparis liparis";"Bottom Vegetation";;
"Liparis montagui";"Bottom Vegetation";;
"Lithophyllum sp.";"Bottom Vegetation";;
"Lithosiphon sp.";"Bottom Vegetation";;
"Lithothamniom glaciale";"Bottom Vegetation";;
"Lithothamnion sp.";"Bottom Vegetation";;
"Lithothamnium sonderi";"Bottom Vegetation";;
"Litosiphon laminariae";"Bottom Vegetation";;
"Litosiphon pusillus";"Bottom Vegetation";;
"Littorina littorea";"Bottom Vegetation";;
"Littorina obtusata";"Bottom Vegetation";;
"Littorina saxatilis";"Bottom Vegetation";;
"Littorina sp.";"Bottom Vegetation";;
"Lomentaria clavellosa";"Bottom Vegetation";;
"Lomentaria orcadensis";"Bottom Vegetation";;
"Lunatia pallida";"Bottom Vegetation";;
"Lyngbya aestuarii";"Bottom Vegetation";;
"Lyngbya confervoides";"Bottom Vegetation";;
"Lyngbya majuscula";"Bottom Vegetation";;
"Lyngbya martensiana";"Bottom Vegetation";;
"Lyngbya sp.";"Bottom Vegetation";;
"Lysianassidae";"Bottom Vegetation";;
"Lysilla loveni";"Bottom Vegetation";;
"løstliggende alger";"Bottom Vegetation";;
"Macoma balthica";"Bottom Vegetation";;
"Macropodia rostrata";"Bottom Vegetation";;
"Marthasterias glacialis";"Bottom Vegetation";;
"Mastigocoleus testarum";"Bottom Vegetation";;
"Mastocarpus stellatus";"Bottom Vegetation";;
"Meiodiscus spetsbergensis";"Bottom Vegetation";;
"Melita palmata";"Bottom Vegetation";;
"Melobesia lejolisii";"Bottom Vegetation";;
"Melobesia membranacea";"Bottom Vegetation";;
"Melobesia sp.";"Bottom Vegetation";;
"Membranipora membranacea";"Bottom Vegetation";;
"Membraniporidae sp.";"Bottom Vegetation";;
"Membranoptera alata";"Bottom Vegetation";;
"Mesodinium sp.";"Bottom Vegetation";;
"Mesogloia sp.";"Bottom Vegetation";;
"Mesogloia vermiculata";"Bottom Vegetation";;
"Metopa alderi";"Bottom Vegetation";;
"Metopa soelsbergi";"Bottom Vegetation";;
"Metridium senile";"Bottom Vegetation";;
"Microdeutopus danmoniensis";"Bottom Vegetation";;
"Microdeutopus gryllotalpa";"Bottom Vegetation";;
"Microdeutopus sp.";"Bottom Vegetation";;
"Microspongium gelatinosum";"Bottom Vegetation";;
"Microspongium sp.";"Bottom Vegetation";;
"Modiolaria discors";"Bottom Vegetation";;
"Modiolus modiolus";"Bottom Vegetation";;
"Molgula occulta";"Bottom Vegetation";;
"Molgula sp.";"Bottom Vegetation";;
"Monia patelliformis";"Bottom Vegetation";;
"Monostroma grevillei";"Bottom Vegetation";;
"Monostroma sp.";"Bottom Vegetation";;
"Monostroma undulatum";"Bottom Vegetation";;
"Musculus discors";"Bottom Vegetation";;
"Musculus marmoratus";"Bottom Vegetation";;
"Musculus tumida";"Bottom Vegetation";;
"muslinge ånderør sp.";"Bottom Vegetation";;
"Mya arenaria";"Bottom Vegetation";;
"Mya sp.";"Bottom Vegetation";;
"Mya truncata";"Bottom Vegetation";;
"Myidae sp.";"Bottom Vegetation";;
"Myoxocephalus scorpius";"Bottom Vegetation";;
"Myriocladia lovenii";"Bottom Vegetation";;
"Myrionema magnusii";"Bottom Vegetation";;
"Myrionema sp.";"Bottom Vegetation";;
"Myrionema strangulans";"Bottom Vegetation";;
"Myriophyllum spicatum";"Bottom Vegetation";;
"Myriotrichia clavaeformis";"Bottom Vegetation";;
"Mysidacea";"Bottom Vegetation";;
"Mysidae indet.";"Bottom Vegetation";;
"Mysis litoralis";"Bottom Vegetation";;
"Mysis ornata";"Bottom Vegetation";;
"Mysis relicta";"Bottom Vegetation";;
"Mysis spiritus";"Bottom Vegetation";;
"Mytilidae";"Bottom Vegetation";;
"Mytilus edulis";"Bottom Vegetation";;
"Nassa reticulata";"Bottom Vegetation";;
"Nassariidae sp.";"Bottom Vegetation";;
"Neanthes succinea";"Bottom Vegetation";;
"Neanthes virens";"Bottom Vegetation";;
"Nebalia bipes";"Bottom Vegetation";;
"Nemalion helminthoïdes";"Bottom Vegetation";;
"Nemalion multifidum";"Bottom Vegetation";;
"Nematoda";"Bottom Vegetation";;
"Nemertini";"Bottom Vegetation";;
"Neoamphitrite figulus";"Bottom Vegetation";;
"Nephtys caeca";"Bottom Vegetation";;
"Nephtys ciliata";"Bottom Vegetation";;
"Nephtys hombergii";"Bottom Vegetation";;
"Nephtys longosetosa";"Bottom Vegetation";;
"Nephtys pente";"Bottom Vegetation";;
"Neptunea antiqua";"Bottom Vegetation";;
"Nereididae";"Bottom Vegetation";;
"Nereimyra punctata";"Bottom Vegetation";;
"Nereis diversicolor";"Bottom Vegetation";;
"Nereis pelagica";"Bottom Vegetation";;
"Nereis sp.";"Bottom Vegetation";;
"Nicolea zostericola";"Bottom Vegetation";;
"Nitella sp.";"Bottom Vegetation";;
"Nitophyllum punctatum";"Bottom Vegetation";;
"Nodularia sp.";"Bottom Vegetation";;
"Nodularia spumigena";"Bottom Vegetation";;
"Nostocales";"Bottom Vegetation";;
"Nostocophyceae";"Bottom Vegetation";;
"Nudibranchia indet.";"Bottom Vegetation";;
"Nudibranchia indet. (æg).";"Bottom Vegetation";;
"Nuphar lutea";"Bottom Vegetation";;
"Nymphaea alba";"Bottom Vegetation";;
"Nymphon sp.";"Bottom Vegetation";;
"Obelia geniculata";"Bottom Vegetation";;
"Obelia longissima";"Bottom Vegetation";;
"Obelia loveni";"Bottom Vegetation";;
"Obelia sp.";"Bottom Vegetation";;
"Obeliinae sp.";"Bottom Vegetation";;
"Ochlochaete hystrix";"Bottom Vegetation";;
"Odonthalia dentata";"Bottom Vegetation";;
"Oligochaeta";"Bottom Vegetation";;
"Omalogyra atomus";"Bottom Vegetation";;
"Onchidoris muricata";"Bottom Vegetation";;
"Onchidoris muricata (æg)";"Bottom Vegetation";;
"Onoba semicostata";"Bottom Vegetation";;
"Onoba striata";"Bottom Vegetation";;
"Ophelia limacina";"Bottom Vegetation";;
"Ophelina acuminata";"Bottom Vegetation";;
"Ophiocomina nigra";"Bottom Vegetation";;
"Ophiopholis aculeata";"Bottom Vegetation";;
"Ophiothrix fragilis";"Bottom Vegetation";;
"Ophiura albida";"Bottom Vegetation";;
"Ophiura sp.";"Bottom Vegetation";;
"Ophiuroidea indet.";"Bottom Vegetation";;
"Orthocladiinae";"Bottom Vegetation";;
"Oscillatoria sp.";"Bottom Vegetation";;
"Osmundea truncata";"Bottom Vegetation";;
"Osteichthyes sp.";"Bottom Vegetation";;
"Ostracoda";"Bottom Vegetation";;
"Ostrea edulis";"Bottom Vegetation";;
"Ostreobium quekettii";"Bottom Vegetation";;
"Pagurus bernhardus";"Bottom Vegetation";;
"Pagurus sp.";"Bottom Vegetation";;
"Palaemon adspersus";"Bottom Vegetation";;
"Palaemon elegans";"Bottom Vegetation";;
"Palaemonidae sp.";"Bottom Vegetation";;
"Palmaria palmata";"Bottom Vegetation";;
"Pantopoda";"Bottom Vegetation";;
"Paraonis fulgens";"Bottom Vegetation";;
"Patella sp.";"Bottom Vegetation";;
"Pectinaria koreni";"Bottom Vegetation";;
"Pedicellina cernua";"Bottom Vegetation";;
"Percursaria percursa";"Bottom Vegetation";;
"Petalonia fascia";"Bottom Vegetation";;
"Petalonia sp.";"Bottom Vegetation";;
"Petalonia zosterifolia";"Bottom Vegetation";;
"Petrocelis hennedyi";"Bottom Vegetation";;
"Petroderma maculiforme";"Bottom Vegetation";;
"Peyssonnelia codana";"Bottom Vegetation";;
"Peyssonnelia dubyi";"Bottom Vegetation";;
"Peyssonnelia sp.";"Bottom Vegetation";;
"Phaeophila dendroides";"Bottom Vegetation";;
"Phaeophila sp.";"Bottom Vegetation";;
"Phaeophila tenuis";"Bottom Vegetation";;
"Phaeostroma aequale";"Bottom Vegetation";;
"Phaeostroma pustulosum";"Bottom Vegetation";;
"Pherusa plumosa";"Bottom Vegetation";;
"Philine aperta";"Bottom Vegetation";;
"Pholas candida";"Bottom Vegetation";;
"Pholas dactylus";"Bottom Vegetation";;
"Pholas sp.";"Bottom Vegetation";;
"Pholis gunnellus";"Bottom Vegetation";;
"Pholoe assimilis";"Bottom Vegetation";;
"Pholoe baltica";"Bottom Vegetation";;
"Pholoe inornata";"Bottom Vegetation";;
"Photis reinhardi";"Bottom Vegetation";;
"Phoxocephalus holboelli";"Bottom Vegetation";;
"Phycodrys rubens";"Bottom Vegetation";;
"Phyllodoce groenlandica";"Bottom Vegetation";;
"Phyllodoce maculata";"Bottom Vegetation";;
"Phyllodoce mucosa";"Bottom Vegetation";;
"Phyllodocidae";"Bottom Vegetation";;
"Phyllodocidae indet. (æg)";"Bottom Vegetation";;
"Phyllophora crispa";"Bottom Vegetation";;
"Phyllophora pseudoceranoides";"Bottom Vegetation";;
"Phyllophora sp.";"Bottom Vegetation";;
"Phyllophora traillii";"Bottom Vegetation";;
"Phyllophora truncata";"Bottom Vegetation";;
"Phymatolithon laevigatum";"Bottom Vegetation";;
"Phymatolithon lenormandii";"Bottom Vegetation";;
"Phymatolithon sp.";"Bottom Vegetation";;
"Pilayella sp.";"Bottom Vegetation";;
"Pisces indet.";"Bottom Vegetation";;
"Piscicola geometra";"Bottom Vegetation";;
"Plagiospora gracilis";"Bottom Vegetation";;
"Platichthys flesus";"Bottom Vegetation";;
"Platyhelminthes";"Bottom Vegetation";;
"Platynereis dumerili";"Bottom Vegetation";;
"Plectonema golenkinianum";"Bottom Vegetation";;
"Plectonema terebrans";"Bottom Vegetation";;
"Pleuronectes platessa";"Bottom Vegetation";;
"Plocamium cartilagineum";"Bottom Vegetation";;
"Plumaria elegans";"Bottom Vegetation";;
"Plumaria plumosa";"Bottom Vegetation";;
"Plumulariidae";"Bottom Vegetation";;
"Pneophyllum caulerpae";"Bottom Vegetation";;
"Pneophyllum limitatum";"Bottom Vegetation";;
"Podoceropsis nitida";"Bottom Vegetation";;
"Pollachius virens";"Bottom Vegetation";;
"Polycarpa fibrosa";"Bottom Vegetation";;
"Polycera quadrilineata";"Bottom Vegetation";;
"polychaet sandrør sp.";"Bottom Vegetation";;
"Polychaeta indet.";"Bottom Vegetation";;
"Polycirrus medusa";"Bottom Vegetation";;
"Polydora caeca";"Bottom Vegetation";;
"Polydora ciliata";"Bottom Vegetation";;
"Polydora ligni";"Bottom Vegetation";;
"Polydora quadrilobata";"Bottom Vegetation";;
"Polydora sp.";"Bottom Vegetation";;
"Polyides rotunda";"Bottom Vegetation";;
"Polynoidae indet.";"Bottom Vegetation";;
"Polyplacophora indet.";"Bottom Vegetation";;
"Polysiphonia arctica";"Bottom Vegetation";;
"Polysiphonia brodiaei";"Bottom Vegetation";;
"Polysiphonia denudata";"Bottom Vegetation";;
"Polysiphonia devoniensis";"Bottom Vegetation";;
"Polysiphonia elongata";"Bottom Vegetation";;
"Polysiphonia elongella";"Bottom Vegetation";;
"Polysiphonia fibrillosa";"Bottom Vegetation";;
"Polysiphonia fucoides";"Bottom Vegetation";;
"Polysiphonia harveyi";"Bottom Vegetation";;
"Polysiphonia nigra";"Bottom Vegetation";;
"Polysiphonia nigrescens";"Bottom Vegetation";;
"Polysiphonia orthocarpa";"Bottom Vegetation";;
"Polysiphonia sp.";"Bottom Vegetation";;
"Polysiphonia stricta";"Bottom Vegetation";;
"Polysiphonia urceolata";"Bottom Vegetation";;
"Polysiphonia violacea";"Bottom Vegetation";;
"Polytretus reinboldii";"Bottom Vegetation";;
"Pomatoceros triqueter";"Bottom Vegetation";;
"Pomatoschistus minutus";"Bottom Vegetation";;
"Pomatoschistus sp.";"Bottom Vegetation";;
"Porcellana longicornis";"Bottom Vegetation";;
"Porifera indet.";"Bottom Vegetation";;
"Porphyra linearis";"Bottom Vegetation";;
"Porphyra miniata";"Bottom Vegetation";;
"Porphyra purpurea";"Bottom Vegetation";;
"Porphyra sp.";"Bottom Vegetation";;
"Porphyra umbilicalis";"Bottom Vegetation";;
"Porphyropsis coccinea";"Bottom Vegetation";;
"Porphyrosiphon martensianus";"Bottom Vegetation";;
"Potamogeton crispus";"Bottom Vegetation";;
"Potamogeton filiformis";"Bottom Vegetation";;
"Potamogeton obtusifolius";"Bottom Vegetation";;
"Potamogeton pectinatus";"Bottom Vegetation";;
"Potamogeton perfoliatus";"Bottom Vegetation";;
"Potamogeton polygonifolius";"Bottom Vegetation";;
"Potamogeton praelongus";"Bottom Vegetation";;
"Potamogeton pusillus";"Bottom Vegetation";;
"Potamogeton sp.";"Bottom Vegetation";;
"Prasiola stipitata";"Bottom Vegetation";;
"Praunus inermis";"Bottom Vegetation";;
"Pringsheimiella scutata";"Bottom Vegetation";;
"Protectocarpus speciosus";"Bottom Vegetation";;
"Protomedeia fasciata";"Bottom Vegetation";;
"Psammechinus miliaris";"Bottom Vegetation";;
"Psammechinus/ Strongylocentrotus";"Bottom Vegetation";;
"Psetta maxima";"Bottom Vegetation";;
"Pseudendoclonium dynamenae";"Bottom Vegetation";;
"Pseudolithoderma extensum";"Bottom Vegetation";;
"Pseudolithoderma sp.";"Bottom Vegetation";;
"Pseudolithoderma subextensum";"Bottom Vegetation";;
"Pseudomystides limbata";"Bottom Vegetation";;
"Psolus phantapus";"Bottom Vegetation";;
"Pterosiphonia parasitica";"Bottom Vegetation";;
"Pterothamnion plumula";"Bottom Vegetation";;
"Pterothamnion sp.";"Bottom Vegetation";;
"Ptilota gunneri";"Bottom Vegetation";;
"Ptilota plumosa";"Bottom Vegetation";;
"Ptilothamnion pluma";"Bottom Vegetation";;
"Ptilothamnion sphaericum";"Bottom Vegetation";;
"Punctaria crispata";"Bottom Vegetation";;
"Punctaria plantaginea";"Bottom Vegetation";;
"Punctaria sp.";"Bottom Vegetation";;
"Punctaria tenuissima";"Bottom Vegetation";;
"Pungitus pungitus";"Bottom Vegetation";;
"Pycnogonida indet.";"Bottom Vegetation";;
"Pygospio elegans";"Bottom Vegetation";;
"Pylaiella littoralis";"Bottom Vegetation";;
"Ralfsia bornetii";"Bottom Vegetation";;
"Ralfsia clavata";"Bottom Vegetation";;
"Ralfsia sp.";"Bottom Vegetation";;
"Ralfsia verrucosa";"Bottom Vegetation";;
"Red bush";"Bottom Vegetation";;
"Red calcified crust";"Bottom Vegetation";;
"Red crust";"Bottom Vegetation";;
"Regularia sp.";"Bottom Vegetation";;
"Rhizoclonium implexum";"Bottom Vegetation";;
"Rhizoclonium riparium";"Bottom Vegetation";;
"Rhizoclonium sp.";"Bottom Vegetation";;
"Rhodochorton concrescens";"Bottom Vegetation";;
"Rhodochorton penicilliforme";"Bottom Vegetation";;
"Rhodochorton purpureum";"Bottom Vegetation";;
"Rhodochorton rhipidandrum";"Bottom Vegetation";;
"Rhodochorton sp.";"Bottom Vegetation";;
"Rhododermis elegans";"Bottom Vegetation";;
"Rhodomela confervoides";"Bottom Vegetation";;
"Rhodomela lycopodioides";"Bottom Vegetation";;
"Rhodophyllis dichotoma";"Bottom Vegetation";;
"Rhodophyllis divaricata";"Bottom Vegetation";;
"Rhodophysema elegans";"Bottom Vegetation";;
"Rhodymenia palmata";"Bottom Vegetation";;
"Rissoa albella";"Bottom Vegetation";;
"Rissoa inconspisoa";"Bottom Vegetation";;
"Rissoa membranacea";"Bottom Vegetation";;
"Rissoa sp.";"Bottom Vegetation";;
"Rissoa violacea";"Bottom Vegetation";;
"Rosenvingiella polyrhiza";"Bottom Vegetation";;
"Ruppia cirrhosa";"Bottom Vegetation";;
"Ruppia maritima";"Bottom Vegetation";;
"Ruppia sp.";"Bottom Vegetation";;
"Rytiphlaea tinctoria";"Bottom Vegetation";;
"Rødalger på lavt vand";"Bottom Vegetation";;
"Rødkødskorp, tyk";"Bottom Vegetation";;
"Rødkødskorp, tynd";"Bottom Vegetation";;
"Saccharina latissima";"Bottom Vegetation";;
"Sagartia elegans";"Bottom Vegetation";;
"Sagartia sp.";"Bottom Vegetation";;
"Sagartiogeton laceratus";"Bottom Vegetation";;
"Sagartiogeton sp.";"Bottom Vegetation";;
"Sahlingia subintegra";"Bottom Vegetation";;
"Sargassum muticum";"Bottom Vegetation";;
"Scagelia corallina";"Bottom Vegetation";;
"Scagelia pusilla";"Bottom Vegetation";;
"Scagelothamnion pusillum";"Bottom Vegetation";;
"Scalibregma inflatum";"Bottom Vegetation";;
"Schistomysis spiritus";"Bottom Vegetation";;
"Schizonema sp.";"Bottom Vegetation";;
"Schmitzia neapolitana";"Bottom Vegetation";;
"Scoloplos armiger";"Bottom Vegetation";;
"Scopelocheirus crenatus";"Bottom Vegetation";;
"Scrobicularia plana";"Bottom Vegetation";;
"Scrupocellaria scabra";"Bottom Vegetation";;
"Scrupocellaria sp.";"Bottom Vegetation";;
"Scyphistoma";"Bottom Vegetation";;
"Scytosiphon lomentaria crust";"Bottom Vegetation";;
"Scytosiphon simplicissimus crust";"Bottom Vegetation";;
"Securiflustra securifrons";"Bottom Vegetation";;
"Sedentaria";"Bottom Vegetation";;
"Seirospora interrupta";"Bottom Vegetation";;
"Seirospora seirosperma";"Bottom Vegetation";;
"Serpulidae";"Bottom Vegetation";;
"Sertularella cupressina";"Bottom Vegetation";;
"Sertularella rugosa";"Bottom Vegetation";;
"Sertularia sp";"Bottom Vegetation";;
"Sertulariidae indet.";"Bottom Vegetation";;
"Siphonocladales";"Bottom Vegetation";;
"Små makrofytter";"Bottom Vegetation";;
"Solaster endeca";"Bottom Vegetation";;
"Sparganium emersum";"Bottom Vegetation";;
"Spermatochnus paradoxus";"Bottom Vegetation";;
"Spermothamnion repens";"Bottom Vegetation";;
"Spermothamnion turneri";"Bottom Vegetation";;
"Sphacelaria arctica";"Bottom Vegetation";;
"Sphacelaria bipinnata";"Bottom Vegetation";;
"Sphacelaria caespitula";"Bottom Vegetation";;
"Sphacelaria cirrosa";"Bottom Vegetation";;
"Sphacelaria furcigera";"Bottom Vegetation";;
"Sphacelaria plumigera";"Bottom Vegetation";;
"Sphacelaria plumosa";"Bottom Vegetation";;
"Sphacelaria plumula";"Bottom Vegetation";;
"Sphacelaria radicans";"Bottom Vegetation";;
"Sphacelaria rigidula";"Bottom Vegetation";;
"Sphacelaria solitaria";"Bottom Vegetation";;
"Sphacelaria sp.";"Bottom Vegetation";;
"Sphaerotrichia divaricata";"Bottom Vegetation";;
"Sphondylothamnion multifidum";"Bottom Vegetation";;
"Spinachia spinachia";"Bottom Vegetation";;
"Spio armata";"Bottom Vegetation";;
"Spio filicornis";"Bottom Vegetation";;
"Spio martinensis";"Bottom Vegetation";;
"Spio sp.";"Bottom Vegetation";;
"Spionidae";"Bottom Vegetation";;
"Spiophanes bombyx";"Bottom Vegetation";;
"Spirorbis borealis";"Bottom Vegetation";;
"Spirorbis corallinae";"Bottom Vegetation";;
"Spirorbis sp.";"Bottom Vegetation";;
"Spirorbis spirillum";"Bottom Vegetation";;
"Spirorbis spirorbis";"Bottom Vegetation";;
"Spirorbis tridentatus";"Bottom Vegetation";;
"Spirulina sp.";"Bottom Vegetation";;
"Spirulina subsalsa";"Bottom Vegetation";;
"Spisula elliptica";"Bottom Vegetation";;
"Spisula solida";"Bottom Vegetation";;
"Spisula subtruncata";"Bottom Vegetation";;
"Spongomorpha aeruginosa Codiolum phase";"Bottom Vegetation";;
"Spongomorpha centralis";"Bottom Vegetation";;
"Spongomorpha sp.";"Bottom Vegetation";;
"Spongonema tomentosum";"Bottom Vegetation";;
"Stanieria sublitoralis";"Bottom Vegetation";;
"Stauromedusae sp.";"Bottom Vegetation";;
"Stenothoe monoculoides";"Bottom Vegetation";;
"Stenothoidae sp.";"Bottom Vegetation";;
"Stictyosiphon soriferus";"Bottom Vegetation";;
"Stictyosiphon sp.";"Bottom Vegetation";;
"Stictyosiphon tortilis";"Bottom Vegetation";;
"Stilophora rhizodes";"Bottom Vegetation";;
"Stilophora tuberculosa";"Bottom Vegetation";;
"Stragularia clavata";"Bottom Vegetation";;
"Stragularia sp.";"Bottom Vegetation";;
"Streblonema sp.";"Bottom Vegetation";;
"Streptosyllis websteri";"Bottom Vegetation";;
"Striaria attenuata";"Bottom Vegetation";;
"Stromatella monostromatica";"Bottom Vegetation";;
"Strongylocentrotus droebachiensis";"Bottom Vegetation";;
"Styela clava";"Bottom Vegetation";;
"Styela rustica";"Bottom Vegetation";;
"Stylonema alsidii";"Bottom Vegetation";;
"Svovlbakterier";"Bottom Vegetation";;
"svovlbakterier sp.";"Bottom Vegetation";;
"Sycon sp.";"Bottom Vegetation";;
"Syllidae";"Bottom Vegetation";;
"Syllidia armata";"Bottom Vegetation";;
"Symphodus melops";"Bottom Vegetation";;
"Symphyocarpus strangulans";"Bottom Vegetation";;
"Sympleustes glaber";"Bottom Vegetation";;
"Syncoryne reinkei";"Bottom Vegetation";;
"Syndosmya alba";"Bottom Vegetation";;
"Syngnathidae sp.";"Bottom Vegetation";;
"Syngnathus typhle";"Bottom Vegetation";;
"Tanaidae";"Bottom Vegetation";;
"Tanaissus lilljeborgi";"Bottom Vegetation";;
"Tealia felina";"Bottom Vegetation";;
"Tealia sp.";"Bottom Vegetation";;
"Tectura sp.";"Bottom Vegetation";;
"Tegella unicornis";"Bottom Vegetation";;
"Tellina tenuis";"Bottom Vegetation";;
"Telmatogeton japonicus";"Bottom Vegetation";;
"Telmatogeton sp.";"Bottom Vegetation";;
"Terebellidae indet.";"Bottom Vegetation";;
"Terebellides stroemi";"Bottom Vegetation";;
"Thalestridae sp.";"Bottom Vegetation";;
"Theodoxus fluviatilis";"Bottom Vegetation";;
"Thyonidium pellucidum";"Bottom Vegetation";;
"Tilopteris mertensii";"Bottom Vegetation";;
"Tolypella nidifica";"Bottom Vegetation";;
"Tolypella sp.";"Bottom Vegetation";;
"Tonicella marmorea";"Bottom Vegetation";;
"Tonicella rubra";"Bottom Vegetation";;
"Triphora perversa";"Bottom Vegetation";;
"Trophon truncatus";"Bottom Vegetation";;
"Trådalger-rø,br,gr - generelt";"Bottom Vegetation";;
"Trådform.enår.rødalg sp.";"Bottom Vegetation";;
"Trådformede enårige brunalger";"Bottom Vegetation";;
"Trådformede enårige grønalger";"Bottom Vegetation";;
"Trådformede enårige rødalger";"Bottom Vegetation";;
"Tubificoides benedeni";"Bottom Vegetation";;
"Tubularia indivisa";"Bottom Vegetation";;
"Turbellaria";"Bottom Vegetation";;
"Turritella communis";"Bottom Vegetation";;
"Ulothrix flacca";"Bottom Vegetation";;
"Ulothrix pseudoflacca";"Bottom Vegetation";;
"Ulothrix sp.";"Bottom Vegetation";;
"Ulothrix subflaccida";"Bottom Vegetation";;
"Ulva lactuca";"Bottom Vegetation";;
"Ulva sp.";"Bottom Vegetation";;
"Ulvaria fusca";"Bottom Vegetation";;
"Ulvopsis grevillei";"Bottom Vegetation";;
"Uronema curvatum";"Bottom Vegetation";;
"Urospora penicilliformis";"Bottom Vegetation";;
"Urospora sp.";"Bottom Vegetation";;
"Urticina felina";"Bottom Vegetation";;
"Vaucheria litorea";"Bottom Vegetation";;
"Vaucheria sp.";"Bottom Vegetation";;
"Venerupis pullastra";"Bottom Vegetation";;
"Verruca stroemia";"Bottom Vegetation";;
"Vertebrata lanosa";"Bottom Vegetation";;
"Verticillina verticillata";"Bottom Vegetation";;
"Walkeria sp.";"Bottom Vegetation";;
"Walkeria uva";"Bottom Vegetation";;
"Xenococcus schousboei";"Bottom Vegetation";;
"Xenococcus sp.";"Bottom Vegetation";;
"Zannichellia major";"Bottom Vegetation";;
"Zannichellia palustris";"Bottom Vegetation";;
"Zannichellia palustris s.l.";"Bottom Vegetation";;
"Zannichellia pedunculata";"Bottom Vegetation";;
"Zannichellia repens";"Bottom Vegetation";;
"Zannichellia sp.";"Bottom Vegetation";;
"Zeugopterus punctatus";"Bottom Vegetation";;
"Zippora membranacea";"Bottom Vegetation";;
